K,fold,accuracy,precision,recall,f1,confusion_matrix
1,5,0.86,0.8650868020868021,0.8624436674436675,0.8569623085279836,"[[44.  1.  0.  3.  2.]
 [ 0. 46.  4.  0.  0.]
 [ 0.  2. 48.  0.  0.]
 [11.  0.  0. 33.  6.]
 [ 2.  0.  0.  4. 44.]]"
3,5,0.8440000000000001,0.840060717060717,0.8436557886557887,0.8364059111446377,"[[42.  1.  0.  4.  3.]
 [ 0. 47.  3.  0.  0.]
 [ 0.  6. 44.  0.  0.]
 [10.  1.  0. 35.  4.]
 [ 3.  0.  0.  4. 43.]]"
5,5,0.82,0.8158923298923298,0.8198010878010878,0.8113869002457237,"[[42.  1.  0.  4.  3.]
 [ 0. 46.  4.  0.  0.]
 [ 0.  7. 43.  0.  0.]
 [12.  0.  0. 33.  5.]
 [ 2.  0.  0.  7. 41.]]"
7,5,0.8160000000000001,0.8088889998889999,0.815057498057498,0.8065086736508731,"[[39.  1.  0.  5.  5.]
 [ 0. 45.  5.  0.  0.]
 [ 0.  5. 45.  0.  0.]
 [12.  0.  0. 34.  4.]
 [ 2.  0.  0.  7. 41.]]"
